All,Tümü
"Invalid value of ""%value"" provided for the %fieldName field.","%fieldName alanı için geçersiz ""%value"" değeri."
"No such entity with %fieldName = %fieldValue","%fieldName = %fieldValue ile böyle bir giriş yok"
"Type %1 is not an instance of %2","%1 türü %2' nin bir örneği değil"
"Something went wrong","Bir şeyler yanlış gitti"
"Exception message","İstisna mesajı"
"Localized Exception.","Yerelleşmiş İstisna."
"error message","hata mesajı"
"Role Name","Yetki Sınıfı Adı"
"Please select a region, state or province.","Lütfen bir bölge, eyalet veya şehir seçiniz."
"Phone Number","Telefon Numarası"
"User Role","Kullanıcı Yetkisi"
"You have no other address entries in your address book.","Adres defterinizde başka adres girişi bulunmuyor."
Contacts,İletişim
"Role Information","Yetki Sınıfı Bilgisi"
"Save Role","Yetki Sınıfı Kaydet"
"Add New User","Yeni Kullanıcı Ekle"
"Create an Account","Bir Hesap Oluştur"
"%name,","%isim,"
"When you sign in to your account, you will be able to:","Hesabınızda oturum açtığınız zaman, şunları yapabileceksiniz:"
"Edit User","Kullanıcı Düzenle"
Comma-separated,"Virgülle ayrılmış"
Comment,Yorum
ZIP,"Posta Kodu"
Gender,Cinsiyet
Prefix,Önek
"Middle Name/Initial","İkinci Ad"
Suffix,Sonek
"My Orders",Siparişlerim
"Create New Customer","Yeni Müşteri Ekle"
Users,Kullanıcılar
"The requested Payment Method is not available.","İstenilen Ödeme Metodu uygun değil."
Updated,Güncellendi
Purchased,"Satın alınan"
Reverted,"Geri Alındı"
"Store Credit","Mağaza kredisi"
"We refunded %1 online.","%1 çevrimiçi iade aldık."
"We refunded %1 offline.","%1 çevrimdışı iade aldık."
"No such entity","Böyle bir varlık yok"
"Order # %1","Sipariş # %1"
"Purchase Order Number","Sipariş Numarası"
"Purchase Order Number: %1","Sipariş numarası: %1"
"This is a required field.","Bu gerekli bir alandır."
Rate,Oran
Date,Tarih
Operation,Operasyon
"Purchase Order","Satınalma Siparişi"
"All Payment Methods","Bütün ödeme yöntemleri"
"Specific Payment Methods","Özel Ödeme Yöntemleri"
"B2B Payment Methods","B2B ödeme yöntemleri"
"All Enabled Payment Methods","Tüm Etkin Ödeme Yöntemleri"
" (disabled)"," (devre dışı)"
"Available Payment Methods","Mevcut ödeme yöntemleri"
"This company has no payment methods. Please contact store administrator.","Bu şirket ödeme yöntemlerine sahip değildir. Lütfen mağaza yöneticisi ile görüşün."
"Default B2B Payment Methods","Varsayılan B2B Ödeme Yöntemleri"
"Applicable Payment Methods","Uygulanabilir ödeme yöntemleri"
"Payment Methods","Tahsilat Yöntemleri"
"By default, the selected payment methods are available for all new companies. If your Magento site has multiple websites, on a specific website the buyer will be able to pay with the methods available for that website only.","Varsayılan, Seçilen ödeme yöntemleri bütün yeni şirketler için mevcuttur. Magento siteniz çoklu websitelere sahipse, Belirli websitesinde satıcı sadece websitesinde olan yöntemle ödeme yapabilecek."
"Payment Information (View)","Ödeme Bilgisi (Görüntüle)"
"Use config settings","Yapılandırma Ayarlarını Kullan"
"Default Config","Varsayılan yapılandırma"
"Save Config","Ayarları Kaydet"
"Use system value","Sistem değerini kullan"
"Use Website","Websitesini Kullan"
Add,Ekle
"Add \Exception","Ekle \Hariç"
"-- No Theme --","--Tema yok--"
"Class for type ""%1"" was not declared","""%1"" türü sınıfı bildirilmedi"
"%1 should implement %2","%1,%2' yi uygulamalıdır"
"The value you set has already been locked. To change the value, use the --%1 option.","Ayarladığınız değer zaten kilitlendi. Değeri değiştirmek için --%1 seçeneğini kullanın."
"Configuration for path: ""%1"" doesn't exist","Yapılandırma yolu: ''%1'' mevcut değil"
"You saved the configuration.","Yapılandırma kaydedildi."
"Something went wrong while saving this configuration:","Bu yapılandırma kaydedilirken bir hata oluştu:"
"Please specify the admin custom URL.","Lütfen özel yönetim sayfası URL si belirleyiniz."
"Invalid %1. %2","Geçersiz %1. %2"
"Value must be a URL or one of placeholders: %1","Değer bir URL veya bir yer tutucu olmalıdır:% 1"
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","Yer tutucu ve %1 ile başlayan ve/veya ''/'' ile biten bir URL veya yol belirtin."
"%1 An empty value is allowed as well.","%1 Boş bir değere de izin verilir."
"Specify a fully qualified URL.","Tam URL belirtin."
"Selected allowed currency ""%1"" is not available in installed currencies.","Seçilen para birimi ""%1"" yüklü para birimlerinde kullanılamıyor."
"Default display currency ""%1"" is not available in allowed currencies.","Varsayılan para birimi görüntüleme ""%1"" izin verilen para birimlerinde kullanılamaz."
"Sorry, we haven't installed the base currency you selected.","Üzgünüz, seçtiğiniz temel para birimini yükleyemedik."
"Sorry, we haven't installed the default display currency you selected.","Üzgünüz, seçtiğiniz varsayılan para birimi ekranını yükleyemedik."
"Sorry, the default display currency you selected is not available in allowed currencies.","Maalesef, seçtiğiniz varsayılan para birimi görüntüleme, izin verilen para birimlerinde kullanılamaz."
"Please correct the email address: ""%1"".","Lütfen e-posta adresini düzeltin: ''%1''."
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","Gönderen adı ""%1"" geçerli değil. Lütfen yalnızca geçerli karakterler ve boşluk kullanın."
"Maximum sender name length is 255. Please correct your settings.","En yüksek gönderici adı uzunluğu 255 karakterdir. Lütfen ayarlarınızı kontrol ediniz."
"The file you're uploading exceeds the server size limit of %1 kilobytes.","Yüklemekte olduğunuz dosya sunucunun boyut limitini %1 kilobayt aşıyor."
"The base directory to upload file is not specified.","Yüklenecek dosyalar için ana klasör seçimi yapılmamış."
"The specified image adapter cannot be used because of: %1","Belirtilen görüntü bağdaştırıcısı nedeniyle kullanılamaz: %1"
"Default scope","Varsayılan Kapsam"
"Base currency","Ana Para Birimi"
"Display default currency","Ana para birimini göster"
"website(%1) scope","web sitesi (%1) kapsamı"
"store(%1) scope","mağaza(%1) kapsamı"
"Currency ""%1"" is used as %2 in %3.","% 3 para biriminde ""% 1"" para birimi % 2 olarak kullanılıyor."
"Please correct the timezone.","Lütfen saat dilimini düzeltin."
"The file ""%1"" does not exist","''%1'' Dosyası mevcut değil"
"The ""%1"" path does not exist","''%1'' Yolu mevcut değil"
"Always (during development)","Herzaman (Geliştirme esnasında)"
"Only Once (version upgrade)","Sadece bir kez (versiyon güncelleme)"
"Never (production)","Asla (site gerçek yayındayken)"
Bcc,Gizli
"Separate Email","Ayrı E-posta"
"%1 (Default)","%1 (Varsayılan)"
title,başlık
Optional,Opsiyonel
"HTTP (unsecure)","HTTP (güvenli olmayan)"
"Yes (302 Found)","Evet (302 Bulundu)"
"Yes (301 Moved Permanently)","Evet (301 Kalıcı olarak Taşındı)"
Specified,Özel
"Visible section not found.","Görüntü kısmı bulunmadı."
"Config form fieldset clone model required to be able to clone fields","Yapılandırma formu alanseti klonu modeli, alanları klon edebilmek için gereklidir."
"%1: Instance of %2 is expected, got %3 instead","% 1:% 2 örneği bekleniyor, bunun yerine% 3 var"
"Invalid XML in file %1:\n%2","%1:\n%2 dosyasında geçersiz XML"
"'There is no defined type ' .","'Tanımlanmış bir tip yok'."
"'Object is not instance of ' .","'Nesne bir örnek değildir'."
"Filesystem is not writable.","Dosya sistemi yazılabilir değil."
"Some error","Bazı hata"
"Some message","Bazı mesajlar"
"You cannot run this command because the Magento application is not installed.","Megento uygulaması yüklü olmadığı için bu program komutu çalıştırılamadı."
"This command is unavailable right now.","Bu komut şu anda kullanılamıyor."
"The ""test/test/test"" path does not exists","""Test / test / test"" yolu mevcut değil"
"some prefix","bazı önek"
"element label","öğe etiketi"
"element hint","öğe ipucu"
"element comment","öğe yorumu"
"element tooltip","öğe araç ipucu"
test2,dene2
"Add after","Sonra Ekle"
"Current Configuration Scope:","Mevcut Yapılandırma Kapsamı:"
"Group Label","Grup etiketi"
"Some Label","Bazı Etiket"
"Tab Label","Tab Etiketi"
"Field 2","Alan 2"
"Field 3","Alan 3"
"Field 3.1","Alan 3.1"
"Field 3.1.1","Alan 3.1.1"
"Field 4","Alan 4"
"Advanced Section","Gelişmiş Bölüm"
"Advanced Admin Section","Gelişmiş Yönetici Bölümü"
"Design Section","Tasarım Bölümü"
"General Section","Genel Bölüm"
"System Section","Sistem Bölümü"
"Currency Setup Section","Para Birimi Ayarları Bölümü"
"Developer Section","Geliştirici Bölümü"
"Web Section","Web Bölümü"
"Store Email Addresses Section","Mağaza E-posta Adresleri Bölümü"
"Email to a Friend","Arkadaşına Gönder"
"'The specified image adapter cannot be used because of: ' .","'Belirtilen görüntü bağdaştırıcı nedeniyle kullanılamıyor: ' ."
"The file ""' . . '"" does not exist","""' . . '"" Dosyası mevcut değil"
"The class for ""%1"" type wasn't declared. Enter the class and try again.","""%1"" tipi için sınıf bildirilmedi. Bir sınıf girin ve tekrar deneyin."
"The ""%1"" email address is incorrect. Verify the email address and try again.","""%1"" e-posta adresi yanlış. E-posta adresini doğrulayın ve tekrar deneyin."
"The time zone is incorrect. Verify the time zone and try again.","Saat dilimi yanlış. Saat dilimini doğrulayın ve tekrar deneyin."
"The ""%1"" file doesn't exist.","""%1"" dosya mevcut değil."
"The ""%1"" path doesn't exist. Verify and try again.","""%1"" yolu mevcut değil. Doğrulayın ve tekrar deneyin."
"'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again.""","'""%1"" dosyasındaki XML geçersiz:'. ""\n%2\n XML'yi doğrulayın ve tekrar deneyin."""
"Product with assigned super attributes should not have specified ""%1"" value","Atanmış süper özelliklere sahip ürün ""%1"" değerini belirtmemelidir"
"Add configurable attributes to the current Attribute Set (""%1"")","Geçerli öznitelik küme için (""%1"") yapılandırılabilir özniteliklerini ekleyin"
"Add configurable attributes to the new Attribute Set based on current","Geçerli olan yeni Öznitelik kümesine yapılandırılabilir nitelikler ekleyin"
"New attribute set name","Yeni özellik adı ayarla"
"Add configurable attributes to the existing Attribute Set","Mevcut Öznitelik Kümesine yapılandırılabilir öznitelikler ekleyin"
"Choose existing Attribute Set","Mevcut öznitelik kümesini seçin"
Configurations,Konfigürasyonlar
"Attribute Values","Öznitelik değerleri"
"Bulk Images &amp; Price","Toplu Resimler &amp; Fiyat"
"Select Attributes","Özellik seç"
"Choose an Option...","Bir seçenek seçiniz..."
"This attribute is used in configurable products.","Bu özellik ayarlanabilir ürünlerde kullanıldı."
"Product has been already attached","Ürün zaten eklendi"
"Parent product does not have configurable product options","Ana ürünün yapılandırılabilir ürün seçenekleri yok"
"Child product does not have attribute value %1","Çocuk ürününde özellik değeri %1 yok"
"Product with specified sku: %1 is not a configurable product","Belirtilen sku ile ürün: %1 yapılandırılabilir bir ürün değildir"
"Requested option doesn't exist: %1","İstenen %1 seçeneği yok"
"Cannot delete variations from product: %1","Üründen varyasyonlar silinemiyor:%1"
"Cannot delete option with id: %1","%1kimlikli seçenek silinemiyor"
"Option with id ""%1"" not found","""%1"" kimliğine sahip seçenek bulunamadı"
"Something went wrong while saving option.","Bu yapılandırma kaydedilirken bir hata oluştu."
"Only implemented for configurable product: %1","Sadece çoklu ürün için uygulanabilir: %1"
"Option attribute ID is not specified.","Opsiyon öznitelik kimliği belirtilmedi."
"Option label is not specified.","Olay belirtilmedi."
"Option values are not specified.","Opsiyon değerleri belirtilmedi."
"Value index is not specified for an option.","Bir seçenek için değer endeksi belirtilmedi."
"Product with id ""%1"" does not contain required attribute ""%2"".","""%"" kimliğine sahip ürün ""%2"" gerekli özniteliğini içermiyor."
"Products ""%1"" and ""%2"" have the same set of attribute values.","Ürünler ""%1"" ve ""%2"" aynı nitelik değer kümesine sahip."
"You can't add the item to shopping cart.","Alışveriş sepetine bu parçayı ekleyemezsiniz."
"Some product variations fields are not valid.","Bazı ürün çeşitleri geçerli değildir."
"Configuration must have specified attributes","Yapılandırma, belirtilen özniteliklere sahip olmalı"
"Choose Affected Attribute Set","Etkilenen Özellik Kümesini Seçin"
"Add configurable attributes to the current Attribute Set","Geçerli Öznitelik Kümesine yapılandırılabilir nitelikler ekleyin"
Confirm,Onayla
"New Attribute Set Name","Yeni Özellik Kümesi Adı"
"Select Associated Product","İlişkili Ürünü Seçiniz"
"Choose a new product to delete and replace the current product configuration.","Mevcut ürün yapılandırmasını silmek ve değiştirmek için yeni bir ürün seçin."
"For better results, add attributes and attribute values to your products.","Daha iyi sonuçlar almak için ürünlerinize nitelikler ve nitelik değerleri ekleyin."
"Configurable products allow customers to choose options (Ex: shirt color). You need to create a simple product for each configuration (Ex: a product for each color).","Yapılandırılabilir seçenekleri seçim yapmasını Hardware (Ex: gömlek rengi). Her yapılandırma için basit bir ürün oluşturmanız gerekir (Ex: bir ürün her renk için)."
"Configurations cannot be created for a standard product with downloadable files. To create configurations, first remove all downloadable files.","İndirilebilir dosyalar içeren standart bir ürün için yapılandırmalar oluşturulamaz. Yapılandırmalar oluşturmak için önce indirilebilir tüm dosyaları kaldırın."
"Add Products Manually","Ürünleri Manuel Olarak Ekle"
"Create Configurations","Yeni yapılandırma oluştur"
"Current Variations","Geçerli İzinler"
Weight,Ağırlık
"Custom options with price type ""percent"" is not available for configurable product.","Fiyat tipi ""yüzde"" ile özel seçenekler yapılandırılabilir ürün için kullanılabilir değil."
"This group contains attributes used in configurable products. Please move these attributes to another group and try again.","Bu grubu yapılandırılabilir ürünlerinde kullanılan öznitelikleri içerir. Lütfen bu öznitelikleri başka bir gruba taşıma ve yeniden deneyin."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Bu özellik ayarlanabilir ürünlerde kullanıldı. Bu özelliği, özellik setinden çıkaramazsınız."
"Associated Products","Bağlanmış Ürünler"
"Step 2: Attribute Values","Adım 2: Öznitelik değerleri"
"Select values from each attribute to include in this product. Each unique combination of values creates a unique product SKU.","Bu üründe yer alacak her öznitelikten değerler seçin. Eşsiz değer kombinasyonlarının her biri eşsiz bir ürün SKU'su oluşturur."
"Sort Variations","Varyasyonları sırala"
Options,Seçenekler
"Deselect All","Tüm Seçimi Kaldır"
"Remove Attribute","Özelliği Sil"
"Save Option","Seçeneği kaydet"
"Remove Option","Seçeneği kaldır"
"Create New Value","Yeni değer yarat"
"Step 3: Bulk Images, Price and Quantity","3. Adım: Toplu resim, fiyat ve miktar"
"Based on your selections %1 new products will be created. Use this step to customize images and price for your new products.","Seçimlerinize göre %1 yeni ürün yaratılacak. Yeni ürünlerin resimlerini ve fiyatını özelleştirmek için bu adımı kullanın."
"Apply single set of images to all SKUs","Tüm SKU'lara tek bir görüntü seti uygulayın"
"Apply unique images by attribute to each SKU","Her bir SKU' ya benzersiz görüntüler öznitelikle uygulayın"
"Skip image uploading at this time","Şu anda resim yüklemeyi atla"
"Remove image","Resmi kaldır"
"Select attribute","Özellik seç"
Select,Seçiniz
"Apply single price to all SKUs","Tüm SKU' ya tek fiyat uygulayın"
"Apply unique prices by attribute to each SKU","Benzersiz fiyatları her SKU'ya nitelik olarak uygulayın"
"Skip price at this time","Şu anda fiyatı atla"
"Apply single quantity to each SKUs","Her SKU'ya tek bir miktar uygulayın"
"Apply unique quantity by attribute to each SKU","Her SKU'ya özgün nitelikte bir miktar uygulayın"
"Skip quantity at this time","Şu anda miktar atla"
"Step 1: Select Attributes","1. Adım: Öznitelikleri Seçin"
"Selected Attributes:","Seçili Özellikler:"
"Step 4: Summary","4. Adım: Özet"
"Configurable products allow customers to choose options (Ex: shirt color).
            You need to create a simple product for each configuration (Ex: a product for each color).","Yapılandırılabilir seçenekleri seçim yapmasını Hardware (Ex: gömlek rengi). Her yapılandırma için basit bir ürün oluşturmanız gerekir (Ex: bir ürün her renk için)."
"Edit Configurations","Yapılandırmaları Düzenle"
"Upload Image","Resim Yükleyin"
"Upload image","Resim yükleyin"
"No Image","Resim Yok"
"Choose a different Product","Farklı bir Ürün seçin"
"Create Product Configurations","Ürün Yapılandırmaları Oluştur"
"New Product Review","Yeni Ürün Yorumu"
"Here are the products you're about to create.","İşte, yaratmak üzere olduğunuz ürünler."
"You created these products for this configuration.","Bu yapılandırma için bu ürünleri siz oluşturdunuz."
"Disassociated Products","Ayrışan Ürünler"
"These products are not associated.","Bu ürünler ilişkili değildir."
"Disable Product","Ürünü Devre Dışı Bırak"
"Enable Product","Ürünü Etkinleştir"
"An attribute has been removed. This attribute will no longer appear in your configurations.","Özellik kaldırıldı. Bu özellik, yapılandırmalarınızda artık görünmeyecek."
"Select options for all attributes or remove unused attributes.","Tüm öznitelikler için seçenekleri seçin veya kullanılmayan öznitelikleri kaldırın."
"Choose this option to delete and replace extension data for all past configurations.","Silmek ve tüm geçmiş yapılandırmaların uzantı verilerini değiştirmek için bu seçeneği seçin."
"Please select attribute for {section} section.","Lütfen, bölüm için öznitelik seçin.{section}."
"Please fill in the values for {section} section.","Lütfen bölüm için değerleri doldurun.{section}."
"Please fill-in correct values.","Lütfen, doğru değerleri doldurun."
"Please select image(s) for your attribute.","Lütfen, öznitelik için resim(leri) seçin."
"Please choose image(s).","Lütfen resim(leri) seçin."
"When you remove or add an attribute, we automatically update all configurations and you will need to recreate current configurations manually.","Bir özellik eklediğinizde, tüm yapılandırmaları otomatik olarak güncelleriz ve mevcut yapılandırmaları manuel olarak yeniden oluşturmanız gerekecektir."
"Please select attribute(s).","Lütfen, öznitelik(leri) seçin."
"Generate Products","İlişkili Ürünler"
"Buy %1 for %2 each and","Her biri %2 için %1 için satın al"
save,kaydet
"Configurable Product Image","Ayarlanabilir Ürün Resmi"
"As low as: ","En düşük:"
"catalogProductMediaConfig is already set","catalogProductMediaConfig ayarlandı"
"Could not update option with id ""%1""","Seçenek ""%1"" kimliğiyle güncelleştirilemedi"
"Product already has this option","Üründe zaten bu seçenek var"
"The configurable product does not have any variation attribute.","Yapılandırılabilir ürünün herhangi bir varyasyon özniteliği yok."
"Product with id ""%1"" does not exist.","Ürün Id ""%1"" yok."
"Products ""%1"" and %2 have the same set of attribute values.","""%1"" ve %2 ürünleri aynı öznitelik değerlerine sahip."
"Configurable product ""%1"" do not have sub-products","Yapılandırılabilir ürün ""%1"" her hangi bir alt ürüne sahip değil"
"Select values from each attribute to include in this product. Each unique combination of values creates a unigue product SKU.","Bu üründe yer alacak her öznitelikten değerler seçin. Her benzersiz değer kombinasyonu, eşsiz bir ürün SKU'su oluşturur."
"Step 3: Bulk Images, Price, and Quantity","3. Adım: Toplu resim, fiyat ve miktar"
"Based on your selections <span class=""new-products-count"" data-bind=""text:countVariations""></span>
        new products will be created. Use this step to customize images and price for your new products.","<span class=""new-products-count"" data-bind=""text:countVariations""></span> seçimlerinizi temel alan yeni ürünler oluşturdu. Bu adımı yeni ürünlerin görüntüleri ve fiyatını özelleştirmek için kullanın."
"Edit role","Rolü Düzenle"
"Please, select attribute for the section ","Lütfen, bölüm için öznitelik seçin "
"Please fill in the values for the section ","Lütfen bölüm için değerleri doldurun "
"Please, fill correct values","Lütfen, doğru değerleri doldurun"
"Please, select image(s) for your attribute","Lütfen, öznitelik için resim(leri) seçin"
"Please choose image(s)","Lütfen resim(leri) seçin"
"Please, select attribute(s)","Lütfen, öznitelik(leri) seçin"
"The product is already attached.","Bu ürün zaten kullanılıyor."
"The parent product doesn't have configurable product options.","Ana ürün, yapılandırılabilir ürün seçeneklerine sahip değildir."
"The child product doesn't have the ""%1"" attribute value. Verify the value and try again.","Alt ürün ""%1"" özellik değerine sahip değil. Değeri doğrulayıp tekrar deneyiniz."
"The product with the ""%1"" SKU isn't a configurable product.","""%1"" kodlu ürün sahip yapılandırılabilir bir ürün değil."
"The ""%1"" entity that was requested doesn't exist. Verify the entity and try again.","İstenen ""%1"" mevcut değil. Kaydın varlığını doğrulayıp tekrar deneyiniz."
"The variations from the ""%1"" product can't be deleted.","""%1"" ürünündeki varyantlar silinemez."
"An error occurred while saving the option. Please try to save again.","Seçenek kaydedilirken bir hata oluştu. Lütfen tekrar kaydetmeyi deneyin."
"This is implemented for the ""%1"" configurable product only.","Bu, yalnızca ""%1"" yapılandırılabilir ürün için uygulanır."
"Contribution must have attributes specified. Enter attributes and try again.","Katkıda belirtilen özelliklerin olması gerekir. Özellikleri girip tekrar deneyiniz."
"Configurable product ""%1"" does not have sub-products","Yapılandırılabilir ürün ""%1"", herhangi bir alt ürüne sahip değil"
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Soru ve yorumlarınız ile ilgili irtibata geçtiğiniz için teşekkür ederiz. Size en kısa zamanda cevap vereceğiz."
"An error occurred while processing your form. Please try again later.","Formunuzu işleme koyarken bir hata oluştu. Lütfen daha sonra tekrar deneyiniz."
"Name is missing","Eksik isim"
"Comment is missing","Eksik yorum"
"Invalid email address","Geçersiz e-mail adresi"
"Write Us","Bize yazın"
"Jot us a note and we’ll get back to you as quickly as possible.","Bize bir not yazın, mümkün olan en kısa sürede size geri döneceğiz."
"What’s on your mind?","Aklında ne var?"
"Contact Form","İletişim Formu"
"Contacts Section","İletişim Bölümü"
"Contact Us","Bize Ulaşın"
"Enable Contact Us","İletişim Formunu Aktif et"
"Email Options","E-posta Seçenekleri"
"Send Emails To","E-posta Alıcısı"
"Email Sender","E-posta Göndericisi"
"Email Template","E-posta Şablonu"
"We can't process your request right now. Sorry, that's all we know.","Üzgünüz, belirlenemeyen bir nedenden dolayı şu anda isteğinizi işleyemiyoruz."
"Name: %name","Adı: %name"
"Email: %email","E-posta: %email"
"Phone Number: %telephone","Telefon Numarası: %telephone"
"Comment: %comment","Yorum: %comment"
"Enter the Name and try again.","İsim girin ve tekrar deneyin."
"Enter the comment and try again.","Yorumu girin ve tekrar deneyin."
"The email address is invalid. Verify the email address and try again.","E-posta adresi geçersiz. E-posta adresini doğrulayın ve tekrar deneyin."
"Invalid domain name: %1","Geçersiz alan adı: %1"
"Invalid cookie lifetime: %1","Geçersiz çerez süresi: %1"
"Invalid cookie path","Geçersiz çerez yolu"
"We use cookies to make your experience better.","Daha iyi bir deneyim için çerez kullanılmaktadır."
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.","Yeni e-Gizlilik direktifine uymak için çerezleri ayarlamanız için onayınızı istemek zorundayız."
"<a href=""%1"">Learn more</a>.","<a href=""%1"">Daha fazla</a>."
"Allow Cookies","Çerezlere izin ver"
"Default Cookie Settings","Varsayılan Çerez Ayarları"
"Cookie Lifetime","Çerez Ömrü"
"Cookie Path","Çerez yolu"
"Cookie Domain","Çerez Domaini"
"Use HTTP Only","Sadece HTTP Kullan"
"Cookie Restriction Mode","Web Çerezi Kısıtlama Modu"
"<strong style=""color:red"">Warning</strong>:  Do not set to ""No"". User security could be compromised.","<strong style=""""color:red"""">Dikkat</strong>:  ""Hayır"" seçeneğini seçmeniz durumunda üye bilgilerinin güvenliği tehlikeye girebilir."
"'Invalid domain name: ' .","'Geçersiz alan adı: ' ."
"'Invalid cookie lifetime: ' .","'Geçersiz çerez süresi: ' ."
"We can't save the cron expression.","Cron ifadesini kurtaramayız."
Daily,Günlük
Weekly,Haftalık
Monthly,Aylık
"Invalid cron expression: %1","Geçersiz cron ifadesi: %1"
"Invalid cron expression, expecting 'match/modulus': %1","Geçersiz cron ifadesi, 'match/modulus': %1 bekleniyor"
"Invalid cron expression, expecting numeric modulus: %1","54/5000
Sayısal modül bekleyen geçersiz cron ifadesi:% 1"
"Invalid cron expression, expecting 'from-to' structure: %1","Geçişli cron ifadesi, 'gelen-için' yapı bekliyor:%1"
"Invalid callback: Not_Existed_Class::execute can't be called","Geçersiz geri arama: Not_Existed_Class:: execute çağrılamıyor"
"Test exception","Test istisnası"
"Cron (Scheduled Tasks)","Cron (Zamanlanmış Görevler)"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set. All the times are in minutes.","Cron yayınlarında üretilen doğru URL'ler için Web> Güvenli ve Güvensiz Temel URL'lerin açıkça ayarlandığından emin olun. Tüm zaman bir dakika içinde."
"Cron configuration options for group:","Grup için cron yapılandırma seçenekleri:"
"Generate Schedules Every","Zaman Çizelgelerini Oluşturma Sıklığı"
"Schedule Ahead for","için zamanlama"
"Missed if Not Run Within","Birlikte çalışmıyorsa atla"
"History Cleanup Every","Geçmişi Silme Sıklığı"
"Success History Lifetime","Başarılı İşlem Geçmişi Saklama Süresi"
"Failure History Lifetime","Hata Geçmişi Saklama Süresi"
"Use Separate Process","Ayrı işlem kullanın"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Zamanlanmış Görevler) - bütün zamanlar dakika bazındadır"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Zamanlanmış görevler tarafından üretilen URL lerin doğru olması için Sistem > Web > Güvenli ve Güvenli Olmayan Ana URL verilerinin doğru olduğundan emin olunuz."
"Save Currency Rates","Döviz kurlarını kaydet"
"Manage Currency Rates","Döviz Kurlarını Yönet"
"Import Service","İçeri Aktarma Hizmeti"
"Save Currency Symbols","Para Birimi Sembollerini Kaydet"
"Currency Symbols","Para birimi simgeleri"
"Use Standard","Standardı Kullan"
"Please specify a correct Import Service.","Lütfen doğru İçeri Aktarma servisi belirtin."
"We can't initialize the import model.","İçe aktarma modelini başlatamıyoruz."
"Click ""Save"" to apply the rates we found.","Bulduğumuz oranları uygulamak için ""Kaydet"" düğmesine tıklayın."
"Currency Rates","Döviz kurları"
"Please correct the input data for ""%1 => %2"" rate.","Lütfen %1 => %2 oranı için giriş verilerini düzeltin."
"All valid rates have been saved.","Bütün geçerli oranlar kaydedildi."
"You applied the custom currency symbols.","Özel para birimi simgelerini uyguladınız."
"You must first configure currency options before being able to see currency rates.","Önce para birimi oranlarını görebilmek için para birimi seçeneklerini yapılandırmanız gerekir."
"Old rate:","Eski oran:"
"Please correct the input data for %1 => %2 rate","Lütfen %1 => %2 oranı için giriş verilerini düzeltin"
"The Import Service is incorrect. Verify the service and try again.","Veri alma servisi yanlış. Servisi doğrulayıp yeniden deneyiniz."
"The import model can't be initialized. Verify the model and try again.","Veri alma modeli başlatılamadı. Modeli doğrulayıp yeniden deneyiniz."
"The current module XML block name is undefined.","Geçerli modülün XML blok adı tanımlı değil."
"The current module form model pathname is undefined.","Geçerli modül form modeli yolu adı tanımlanmamış."
"Use helper with defined EAV entity.","Tanımlanan EAV varlığıyla yardımcıyı kullanın."
"Default EAV Form","Varsayılan EAV formu"
"Please correct the values for minimum and maximum text length validation rules.","Lütfen minimum ve maksimum metin uzunluğu doğrulama kurallarına ilişkin değerleri düzeltin."
"Please correct the values for minimum and maximum date validation rules.","Lütfen minimum ve maksimum tarih doğrulama kurallarının değerlerini düzeltin."
"Text Field","Yazı Kutusu"
"Text Area","Yazı Alanı"
"Multiple Line","Çoklu Satır"
Yes/No,Evet/Hayır
"File (attachment)","Dosya (ek)"
"Image File","Görüntü dosyası"
Alphanumeric,Alfasayısal
"Numeric Only","Yalnızca Sayısal"
"Alpha Only","Sadece Karakter"
"Strip HTML Tags","HTML etiketlerini şeritle"
"Escape HTML Entities","HTML Varlıklarını çıkarmak"
"Normalize Date","Tarihi Normalleştir"
"The attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_) in this field. The first character should be a letter.","Özellik kodu geçersiz. Lütfen sadece bu alandaki harfleri (a-z), sayıları (0-9) veya alt çizgi (_) kullanın. İlk karakter bir harf olmalıdır."
"Please correct the value for file extensions.","Lütfen dosya uzantılarının değerini düzeltin."
"Alphanumeric with spaces","Boşluklu alfanümerik"
"You are subscribed to our newsletter.","Haber bültenimize abone oldunuz."
"You aren't subscribed to our newsletter.","Haber bültenimize abone olmadınız."
"You have not set a default shipping address.","Varsayılan teslimat adesi ayarlamadınız."
"You have not set a default billing address.","Varsayılan fatura adresi belirlemediniz."
"Address Book","Adres Defteri"
"Edit Address","Adresi Düzenle"
"Add New Address","Yeni Adres Ekle"
region,bölge
"Save Customer","Müşteriyi Kaydet"
"Reset Password","Şifre Sıfırla"
"Are you sure you want to revoke the customer's tokens?","Müşterinin jetonlarını iptal etmek istediğinize emin misiniz?"
